"","Department"
"202","Marui Girls Hostel"
"203","Institute of Languages"
"204","Institute of Languages"
"205","Institute of Languages"
"206","Institute of Languages"
"207","Department of Arabic"
"208","International Relations"
"209","International Relations"
"210","I.R. Deptt."
"211","Department of I.R"
"212","Department of Islamic Culture"
"213","Department of Islamic Culture"
"214","Department of Islamic Culture"
"215","Plantation"
"216","Plantation section"
"217","Plantation section"
"218","Plantation section"
"219","Plantation section"
"220","Plantation section"
"221","Plantation section"
"222","Plantation section"
"223","Plantation Section"
"224","Plantation Section"
"225","Plantation Section"
"226","Plantation Section"
"227","Plantation Section"
"228","Plantation Section"
"229","Plantation Section"
"230","Plantation Section"
"231","Plantation Section"
"232","Plantation Section"
"233","Plantation Section"
"234","Plantation Section"
"235","Plantation Section"
"236","Plantation Section"
"237","Plantation Section"
"238","Plantation Section"
"239","Plantation Section"
"240","Plantation Section"
"241","Plantation Section"
"242","Plantation Section"
"243","Plantation Section"
"244","Plantation Section"
"245","Plantation Section"
"246","Plantation Section"
"247","Plantation Section"
"248","Plantation & Beautification Wing"
"249","Plantation & Beautification Wing"
"250","Plantation & Beautification Wing"
"251","Plantation & Beautification Wing"
"252","Plantation & Beautification Wing"
"253","Plantation & Beautification Wing"
"254","Plantation & Beautification Wing"
"255","Plantation & Beautification Wing"
"256","Plantation & Beautification Wing"
"257","Plantation & Beautification W."
"258","Plantation & Beautification w."
"259","Plantation & Beatification"
"260","Plantation & B. Wing"
"261","Plant Sciences"
"262","Instt: Plant Sciences"
"263","Instt: of Plant Sciences"
"264","Instt. of Plant Sciences"
"265","Institute of Plant Sciences"
"266","Institute of Plant Sciences"
"267","Institute of Plant Sciences"
"268","Institute of Plant Sciences"
"269","Institute of Plant Sciences"
"270","Institute of Plant Sciences"
"271","Institute of Plant Sciences"
"272","Institute of Plant Sciences"
"273","Institute of Plant Sciences"
"274","Institute of Plant Sciences"
"275","Institute of Plant Sciences"
"276","Institute of Plant Sciences"
"277","Institute of Plant Sciences"
"278","Institute of Plant Sciences"
"279","Institute of Plant Sciences"
"280","Institute of Plant Sciences"
"281","Institute of Plant Sciences"
"282","Institute of Plant Sciences"
"283","Institute of Plant Sciences"
"284","Institute of Plant Sciences"
"285","Institute of Plant Sciences"
"286","Institute of Plant Science"
"287","Inst. of Plant Science"
"288","Physics"
"289","Physics"
"290","Physics"
"291","Instt: of Physics"
"292","Instt: of Physics"
"293","Instt: of Physics"
"294","Instt. of Physics"
"295","Institute of Physics"
"296","Institute of Physics"
"297","Institute of Physics"
"298","Institute of Physics"
"299","Institute of Physics"
"300","Institute of Physics"
"301","Institute of Physics"
"302","Institute of Physics"
"303","Institute of Physics"
"304","Institute of Physics"
"305","Institute of Physics"
"306","Institute of Physics"
"307","Instt: of Mathematics & Computer Sciences"
"308","Instt: of Mathematics & Computer Science"
"309","Instt: of Mathematics & Computer Science"
"310","Institute of Mathematics & Computer Science"
"311","Institute of Mathematics & Computer Science"
"312","Institute of Mathematics & Computer Science"
"313","Institute of Mathematics & Computer Science"
"314","Institute of Mathematics & Computer Science"
"315","Institute of Mathematics & Computer Science"
"316","Institute of Mathematics & Computer Science"
"317","Institute of Mathematics & Computer Science"
"318","Institute of Mathematics & Computer Science"
"319","Institute of Mathematics & Computer Science"
"320","Institute of Mathematics & Computer Science"
"321","Institute of Mathematics & Computer Science"
"322","Department of Mathematics & Computer Science"
"323","Department of Mathematics & Computer Science"
"324","Department of Mathematics & Computer Science"
"325","Instt: of Mathematics & Com: Sci:"
"326","Instt. of Maths. & Comp. Sc."
"327","IMCS"
"328","IMCS"
"329","IMCS"
"330","IMCS"
"331","IMCS"
"332","Office of Focal Person @ IMCS"
"333","I.M.C.S."
"334","I.M.C.S"
"335","New Mosque (I.M.C.S)"
"336","Instt: of Infor: & Comm: Tech:"
"337","Instt. of Information Technology"
"338","Institute of Information Technology"
"339","Institute of Information Technology"
"340","Institute of Information &Communication Technology"
"341","Institute of Information & Communication Technology"
"342","Institute of Information & Communication Technology"
"343","Institute of Information & Communication Technology"
"344","Institute of Information & Communication Technology"
"345","Institute of Information & Communication Technology"
"346","Institute of Information & Communication Technology"
"347","Institute of Information & Communication Technology"
"348","Institute of Information & Communication Technology"
"349","Institute of Information & Communication Technology"
"350","Institute of Information & Communication Technology"
"351","Institute of Information & Communication Technology"
"352","Institute of Information & Communication Technology"
"353","Institute of Information & Communication Technology"
"354","Institute of Information & Communication Technology"
"355","Institute of Information & Communication Technology"
"356","Institute of Information & Communication Technology"
"357","Institute of Information & Communication Technology"
"358","Institute of Information & Com. Tech."
"359","Institute of Information & C. Tech."
"360","Inst. of Information & Communication Tech:"
"361","Inst. of Inform. Tech."
"362","IICT"
"363","IICT"
"364","I.I.C.T"
"365","Institute of Woman Development Studies"
"366","Institute of Gender Studies"
"367","Institute of Gender Studies"
"368","Institute of Gender Studies"
"369","Institute of Gender Studies"
"370","Institute of Gender Studies"
"371","Gender Studies"
"372","Instt: of Biotechnology & G.E"
"373","Instt: of Biotechnology & G. E."
"374","Institute of Biotechnology & Genetic Engineering,"
"375","Institute of Biotechnology & Genetic Engineering"
"376","Institute of Biotechnology & Genetic Engineering"
"377","Institute of Biotechnology & Genetic Engineering"
"378","Institute of Biotechnology & Genetic Engineering"
"379","Institute of Biotechnology & Genetic Engineering"
"380","Institute of Biotechnology & Genetic Engineering"
"381","Institute of Biotechnology & Genetic Engineering"
"382","Institute of Biotechnology & Genetic Engineering"
"383","Institute of Biotechnology & Genetic Engineering"
"384","Institute of Biotechnology & Genetic Engineering"
"385","Institute of Biotechnolog & Genetic Engineering"
"386","Institute of  Bio-tech. and Genetic Engineering"
"387","Bio-Technology & Genetic Engineering"
"388","Instt: of Biochemistry."
"389","Instt: of Biochemistry"
"390","Instt: of Biochemistry"
"391","Inst. of Biochemistry"
"392","Institute of Biochemistry"
"393","Institute of Biochemistry"
"394","Institute of Biochemistry"
"395","Institute of Biochemistry"
"396","Institute of Biochemistry"
"397","Institute of Biochemistry"
"398","Institute of Biochemistry"
"399","Institute of Biochemistry"
"400","Institute of Biochemistry"
"401","Institute of Biochemistry"
"402","Institute of Biochemistry"
"403","Institute of Biochemistry"
"404","Institute of Biochemistry"
"405","Institute of  Biochemistry"
"406","Institute of  Biochemistry"
"407","Biochemistry"
"408","Institute of Advanced Research Studies in Chemical Sciences"
"409","Institute of Advanced Research Studies in Chemical Sciences"
"410","Institute of Advanced Research Studies in Chemical Sciences"
"411","Institute of Advanced Research Studies in Chemical Sciences"
"412","Institute of Advance Research Studies in Chemical Sciences"
"413","Institute of Advance Research Studies in Chemical Sciences"
"414","Inst. of Advance Research Studies in Chemical Sciences"
"415","Inst. Of Advanced Research Studies & Chemical Science"
"416","General History"
"417","General History"
"418","General history"
